_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
272,Gin Toddy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/l9gi5h1504820724.jpg,Old-fashioned glass,Gin,Water,Powdered Sugar,Lemon Peel,,,,,,,,,2 oz,2 tsp,1/2 tsp,1 twist of,,,,,,,,,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.","[""Gin"", ""Water"", ""Powdered Sugar"", ""Lemon Peel""]"
273,Girl From Ipanema,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg,Wine Glass,Cachaca,Lemon Juice,Agave Syrup,Champagne,,,,,,,,,25 ml,15 ml,10 ml,top up with,,,,,,,,,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne","[""Cachaca"", ""Lemon Juice"", ""Agave Syrup"", ""Champagne""]"
274,Gluehwein,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,Irish coffee cup,Red Wine,Water,Sugar,Cinnamon,Cloves,Lemon Peel,,,,,,,1 L,125 ml,60 gr,1,3,1 tblsp,,,,,,,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.","[""Red Wine"", ""Water"", ""Sugar"", ""Cinnamon"", ""Cloves"", ""Lemon Peel""]"
275,Godchild,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,Champagne flute,Vodka,Amaretto,Heavy Cream,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","[""Vodka"", ""Amaretto"", ""Heavy Cream""]"
276,Godfather,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/r74uz51504368928.jpg,Old-fashioned glass,Scotch,Amaretto,,,,,,,,,,,1 1/2 oz,3/4 oz,,,,,,,,,,,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,"[""Scotch"", ""Amaretto""]"
277,Godmother,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4889up1504368984.jpg,Old-fashioned glass,Vodka,Amaretto,,,,,,,,,,,1 1/2 oz,3/4 oz,,,,,,,,,,,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,"[""Vodka"", ""Amaretto""]"
278,Golden dream,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg,Cocktail glass,Galliano,Triple Sec,Orange Juice,Cream,,,,,,,,,2 parts,2 parts,2 parts,1 part,,,,,,,,,Shake with cracked ice. Strain into glass and serve.,"[""Galliano"", ""Triple Sec"", ""Orange Juice"", ""Cream""]"
279,Grand Blue,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,Old-fashioned glass,Malibu Rum,Peach Schnapps,Blue Curacao,Sweet And Sour,,,,,,,,,1 1/2 cl,1 1/2 cl,1 1/2 cl,3 cl,,,,,,,,,Serve in an old fashioned glass.,"[""Malibu Rum"", ""Peach Schnapps"", ""Blue Curacao"", ""Sweet And Sour""]"
280,Grape lemon pineapple Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg,Highball glass,Grapes,Lemon,Pineapple,,,,,,,,,,1 cup,4-Jan,2-Jan,,,,,,,,,,Throw everything into a blender and liquify.,"[""Grapes"", ""Lemon"", ""Pineapple""]"
281,Grass Skirt,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,Old-fashioned glass,Gin,Triple Sec,Pineapple Juice,Grenadine,Pineapple,,,,,,,,1 1/2 oz,1 oz,1 oz,1/2 tsp,1,,,,,,,,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.","[""Gin"", ""Triple Sec"", ""Pineapple Juice"", ""Grenadine"", ""Pineapple""]"
282,Grasshopper,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Cocktail glass,Green Creme De Menthe,Creme De Cacao,Light Cream,,,,,,,,,,3/4 oz,3/4 oz white,3/4 oz,,,,,,,,,,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,"[""Green Creme De Menthe"", ""Creme De Cacao"", ""Light Cream""]"
283,Green Goblin,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,Pint glass,Cider,Lager,Blue Curacao,,,,,,,,,,1/2 pint hard,1/2 pint,1 shot,,,,,,,,,,"Cider First, Lager then Curacao","[""Cider"", ""Lager"", ""Blue Curacao""]"
284,Grim Reaper,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,Old-fashioned glass,Kahlua,151 Proof Rum,Grenadine,,,,,,,,,,1 oz,1 oz Bacardi,1 dash,,,,,,,,,,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,"[""Kahlua"", ""151 Proof Rum"", ""Grenadine""]"
285,Grizzly Bear,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,Collins Glass,Amaretto,Jägermeister,Kahlua,Milk,,,,,,,,,1 part,1 part,1 part,2 1/2 parts,,,,,,,,,"Served over ice. Sounds nasty, but tastes great.","[""Amaretto"", ""Jägermeister"", ""Kahlua"", ""Milk""]"
286,H.D.,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,Beer mug,Whisky,Bailey'S Irish Cream,Coffee,,,,,,,,,,4 cl,8 cl,,,,,,,,,,,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,"[""Whisky"", ""Bailey'S Irish Cream"", ""Coffee""]"
287,Happy Skipper,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,Highball glass,Spiced Rum,Ginger Ale,Lime,Ice,,,,,,,,,1 1/2 cl,,,,,,,,,,,,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)","[""Spiced Rum"", ""Ginger Ale"", ""Lime"", ""Ice""]"
288,Harvey Wallbanger,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vg4bva1504369725.jpg,Collins glass,Vodka,Galliano,Orange Juice,,,,,,,,,,1 oz,1/2 oz,4 oz,,,,,,,,,,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.","[""Vodka"", ""Galliano"", ""Orange Juice""]"
289,Havana Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Cocktail glass,Light Rum,Pineapple Juice,Lemon Juice,,,,,,,,,,1 oz,1 oz,1 tsp,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","[""Light Rum"", ""Pineapple Juice"", ""Lemon Juice""]"
290,Hawaiian Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Cocktail glass,Gin,Triple Sec,Pineapple Juice,,,,,,,,,,2 oz,1/2 oz,1 tblsp,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Gin"", ""Triple Sec"", ""Pineapple Juice""]"
291,Hemingway Special,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Cocktail glass,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,,,,12 parts,8 parts,3 parts,3 parts,,,,,,,,,Pour all ingredients into a shaker with ice. Shake.,"[""Rum"", ""Grapefruit Juice"", ""Maraschino Liqueur"", ""Lime Juice""]"
292,Herbal flame,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,Mason jar,Hot Damn,Tea,,,,,,,,,,,5 shots,very sweet,,,,,,,,,,,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.","[""Hot Damn"", ""Tea""]"
293,Highland Fling Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Cocktail glass,Scotch,Sweet Vermouth,Orange Bitters,Olive,,,,,,,,,1 1/2 oz,3/4 oz,2 dashes,1,,,,,,,,,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,"[""Scotch"", ""Sweet Vermouth"", ""Orange Bitters"", ""Olive""]"
294,Holloween Punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,Punch bowl,Grape Juice,Carbonated Soft Drink,Sherbet,Sherbet,,,,,,,,,,", orange",,,,,,,,,,,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.","[""Grape Juice"", ""Carbonated Soft Drink"", ""Sherbet"", ""Sherbet""]"
295,Homemade Kahlua,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins Glass,Sugar,Corn Syrup,Coffee,Vanilla Extract,Water,Vodka,,,,,,,2 1/2 cups,1 cup,1 1/2 oz instant,2 oz,3 cups boiling,1 fifth,,,,,,,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.","[""Sugar"", ""Corn Syrup"", ""Coffee"", ""Vanilla Extract"", ""Water"", ""Vodka""]"
296,Horse's Neck,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Highball glass,Lemon Peel,Brandy,Ginger Ale,Bitters,,,,,,,,,1 long strip,2 oz,5 oz,2 dashes,,,,,,,,,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.","[""Lemon Peel"", ""Brandy"", ""Ginger Ale"", ""Bitters""]"
297,Hot Chocolate to Die for,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Coffee mug,Chocolate,Butter,Vanilla Extract,Half-And-Half,Marshmallows,,,,,,,,12 oz fine,1 tsp,1/2 tsp,1 cup,mini,,,,,,,,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.","[""Chocolate"", ""Butter"", ""Vanilla Extract"", ""Half-And-Half"", ""Marshmallows""]"
298,Hot Creamy Bush,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Irish coffee cup,Irish Whiskey,Bailey'S Irish Cream,Coffee,,,,,,,,,,1 shot,3/4 shot,6 oz hot,,,,,,,,,,Combine all ingredients in glass,"[""Irish Whiskey"", ""Bailey'S Irish Cream"", ""Coffee""]"
299,Ice Pick #1,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Collins Glass,Vodka,Iced Tea,Lemon Juice,,,,,,,,,,1 1/2 oz,6 oz,to taste,,,,,,,,,,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,"[""Vodka"", ""Iced Tea"", ""Lemon Juice""]"
300,Iced Coffee,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee mug,Coffee,Sugar,Water,Milk,,,,,,,,,1/4 cup instant,1/4 cup,1/4 cup hot,4 cups cold,,,,,,,,,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,"[""Coffee"", ""Sugar"", ""Water"", ""Milk""]"
301,Iced Coffee Fillip,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Coffee mug,Kahlua,Coffee,,,,,,,,,,,2 tsp,Strong cold,,,,,,,,,,,Mix together in a coffee mug and chill before serving.,"[""Kahlua"", ""Coffee""]"
302,Imperial Cocktail,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Cocktail glass,Lime Juice,Gin,Aperol,,,,,,,,,,4 cl,2 cl,4 cl,,,,,,,,,,Shake with ice and strain into cocktail glass.,"[""Lime Juice"", ""Gin"", ""Aperol""]"
303,Imperial Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Highball glass,Light Rum,Blended Whiskey,Lemon,Powdered Sugar,Carbonated Water,,,,,,,,1/2 oz,1 1/2 oz,Juice of 1/2,1 tsp,,,,,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","[""Light Rum"", ""Blended Whiskey"", ""Lemon"", ""Powdered Sugar"", ""Carbonated Water""]"
304,Ipamena,Non Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine Glass,Lime,Brown Sugar,Passion Fruit Juice,Ginger Ale,Ice,,,,,,,,½,2 tsp,4 cl,top up with,fill,,,,,,,,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","[""Lime"", ""Brown Sugar"", ""Passion Fruit Juice"", ""Ginger Ale"", ""Ice""]"
305,Irish Coffee,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish coffee cup,Irish Whiskey,Coffee,Sugar,Whipped Cream,,,,,,,,,1 1/2 oz,8 oz,1 tsp,1 tblsp,,,,,,,,,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.","[""Irish Whiskey"", ""Coffee"", ""Sugar"", ""Whipped Cream""]"
306,Irish Cream,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Irish coffee cup,Scotch,Half-And-Half,Condensed Milk,Coconut Syrup,Chocolate Syrup,,,,,,,,1 cup,1 1/4 cup,1 can sweetened,3 drops,1 tblsp,,,,,,,,Mix scotch and milk. Add half-and-half. Add rest.,"[""Scotch"", ""Half-And-Half"", ""Condensed Milk"", ""Coconut Syrup"", ""Chocolate Syrup""]"
307,Irish Curdling Cow,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball glass,Bailey'S Irish Cream,Bourbon,Vodka,Orange Juice,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,2-3 oz,,,,,,,,,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.","[""Bailey'S Irish Cream"", ""Bourbon"", ""Vodka"", ""Orange Juice""]"
308,Irish Russian,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball glass,Vodka,Kahlua,Coca-Cola,Guinness Stout,,,,,,,,,1 shot,1 shot,1 dash,Fill with,,,,,,,,,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,"[""Vodka"", ""Kahlua"", ""Coca-Cola"", ""Guinness Stout""]"
309,Irish Spring,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Collins glass,Irish Whiskey,Peach Brandy,Orange Juice,Sweet And Sour,Orange,Cherry,,,,,,,1 oz,1/2 oz,1 oz,1 oz,1 slice,1,,,,,,,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.","[""Irish Whiskey"", ""Peach Brandy"", ""Orange Juice"", ""Sweet And Sour"", ""Orange"", ""Cherry""]"
310,Jack Rose Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Cocktail glass,Apple Brandy,Grenadine,Lime,,,,,,,,,,1 1/2 oz,1 tsp,Juice of 1/2,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Apple Brandy"", ""Grenadine"", ""Lime""]"
311,Jack's Vanilla Coke,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned glass,Ice,Tennessee Whiskey,Vanilla Extract,Coca-Cola,,,,,,,,,5-Apr,2 oz,1 tsp,10-12 oz,,,,,,,,,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.","[""Ice"", ""Tennessee Whiskey"", ""Vanilla Extract"", ""Coca-Cola""]"
312,Jackhammer,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins Glass,Jack Daniels,Amaretto,,,,,,,,,,,1 oz,1 oz,,,,,,,,,,,"Serve over ice- Warning,Deadly!","[""Jack Daniels"", ""Amaretto""]"
313,Jam Donut,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot glass,Baileys Irish Cream,Chambord Raspberry Liqueur,Sugar Syrup,Sugar,,,,,,,,,2/3 oz,1/3 oz,1 tsp,2 pinches,,,,,,,,,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","[""Baileys Irish Cream"", ""Chambord Raspberry Liqueur"", ""Sugar Syrup"", ""Sugar""]"
314,Jamaica Kiss,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane glass,Coffee Liqueur,Light Rum,Ice,Milk,,,,,,,,,1 shot,1 shot Jamaican,cubes,,,,,,,,,,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,"[""Coffee Liqueur"", ""Light Rum"", ""Ice"", ""Milk""]"
315,Jamaican Coffee,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Champagne flute,Rum,Coffee,Water,Whipped Cream,,,,,,,,,1/6 glass,1/6 glass strong black,1/2 glass cold,,,,,,,,,,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.","[""Rum"", ""Coffee"", ""Water"", ""Whipped Cream""]"
316,Japanese Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Highball glass,Blended Whiskey,Lemon,Powdered Sugar,Port,Egg White,Carbonated Water,,,,,,,1 1/2 oz,Juice of 1/2,1 tsp,1 tblsp,1,,,,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","[""Blended Whiskey"", ""Lemon"", ""Powdered Sugar"", ""Port"", ""Egg White"", ""Carbonated Water""]"
317,Jello shots,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,Shot glass,Vodka,Jello,Water,,,,,,,,,,2 cups,3 packages,3 cups,,,,,,,,,,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...","[""Vodka"", ""Jello"", ""Water""]"
318,Jelly Bean,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial glass,Blackberry Brandy,Anis,,,,,,,,,,,1 oz,1 oz,,,,,,,,,,,mix equal parts in pony glass-tastes just like a jelly bean!,"[""Blackberry Brandy"", ""Anis""]"
319,Jewel Of The Nile,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Cocktail glass,Gin,Green Chartreuse,Yellow Chartreuse,,,,,,,,,,1 1/2 oz,1/2 oz,1/2 oz,,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","[""Gin"", ""Green Chartreuse"", ""Yellow Chartreuse""]"
320,Jitterbug,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail Glass,Gin,Vodka,Grenadine,Lime Juice,Sugar,Sugar Syrup,Soda Water,,,,,,2 jiggers,1 jigger,3 dashes,1 shot,Around rim put 1 pinch,3 dashes,Fill to top with,,,,,,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","[""Gin"", ""Vodka"", ""Grenadine"", ""Lime Juice"", ""Sugar"", ""Sugar Syrup"", ""Soda Water""]"
321,John Collins,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Collins glass,Bourbon,Lemon Juice,Sugar,Club Soda,Maraschino Cherry,Orange,,,,,,,2 oz,1 oz,1 tsp superfine,3 oz,1,1,,,,,,,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,"[""Bourbon"", ""Lemon Juice"", ""Sugar"", ""Club Soda"", ""Maraschino Cherry"", ""Orange""]"
322,Just a Moonmint,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Highball Glass,Milk,Chocolate Syrup,Mint Syrup,,,,,,,,,,2 cups,,,,,,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","[""Milk"", ""Chocolate Syrup"", ""Mint Syrup""]"
323,Kamikaze,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,Cocktail glass,Vodka,Triple Sec,Lime Juice,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,,"Shake all ingredients together with ice. Strain into glass, garnish and serve.","[""Vodka"", ""Triple Sec"", ""Lime Juice""]"
324,Karsk,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Highball glass,Coffee,Grain Alcohol,,,,,,,,,,,1 part,2 parts,,,,,,,,,,,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.","[""Coffee"", ""Grain Alcohol""]"
325,Kentucky B And B,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Brandy snifter,Bourbon,Benedictine,,,,,,,,,,,2 oz,1/2 oz,,,,,,,,,,,Pour the bourbon and Benedictine into a brandy snifter.,"[""Bourbon"", ""Benedictine""]"
326,Kentucky Colonel,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Cocktail glass,Bourbon,Benedictine,Lemon Peel,,,,,,,,,,3 oz,1/2 oz,1 twist of,,,,,,,,,,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,"[""Bourbon"", ""Benedictine"", ""Lemon Peel""]"
327,Kill the cold Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Highball glass,Ginger,Lemon,Water,,,,,,,,,,1 inch,4-Jan,1 cup hot,,,,,,,,,,Juice ginger and lemon and add it to hot water. You may add cardomom.,"[""Ginger"", ""Lemon"", ""Water""]"
